variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
middleStim,path to image displayed in central arrow location for given trial,path to image displayed in central arrow location for given trial,s1_r1_e1,char,path names,path name,NA,1,NA,direct-psychopy
rightStim1,path to image displayed in inner rigth arrow location for given trial,path to image displayed in inner rigth arrow location for given trial,s1_r1_e1,char,path names,path name,NA,1,NA,direct-psychopy
rightStim2,path to image displayed in outer right arrow location for given trial,path to image displayed in outer right arrow location for given trial,s1_r1_e1,char,path names,path name,NA,1,NA,direct-psychopy
leftStim1,path to image displayed in inner left arrow location for given trial,path to image displayed in inner left arrow location for given trial,s1_r1_e1,char,path names,path name,NA,1,NA,direct-psychopy
leftStim2,path to image displayed in outer left arrow location for given trial,path to image displayed in outer left arrow location for given trial,s1_r1_e1,char,path names,path name,NA,1,NA,direct-psychopy
stimNum,stimulus array shown on given trial,stimulus array shown on given trial,s1_r1_e1,integer,"1,2,3,4,41,42,43,44,51,52,53,54","1, practice trial right target congruent | 2, practice trial left target congruent | 3, practice trial right target incongruent | 4, practice trial left target incongruent | 41, nonsocial trial right target congruent | 42, nonsocial trial left target congruent | 43, nonsocial trial right target incongruent | 44, nonsocial trial left target incongruent | 51, social trial right target congruent | 52, social trial left target congruent | 53, social trial right target incongruent | 54, social trial left target incongruent | ",NA,1,NA,direct-psychopy
congruent,congruency of stimulus array on given trial,congruency of stimulus array on given trial,s1_r1_e1,logical,"1,0","1, congruent | 0, incongruent",NA,1,NA,direct-psychopy
target,target direction,direction of central stimulus,s1_r1_e1,char,"left, right",NA,NA,1,NA,direct-psychopy
conditionText,social or nonsocial condition,"text displayed to participant, which denotes if in social or nonsocial condition",s1_r1_e1,char,"Alone, Observed",NA,NA,1,NA,direct-psychopy
prac_block_loop.thisRepN,block number for practice,"block number, starting at 0 for first block of practice",s1_r1_e1,integer,"[0,inf]",NA,NA,1,NA,direct-psychopy
prac_trial_loop.thisN,trial number of current practice block,"trial number of current practice block, starting at 0 for first trial of current practice block. Restarts at 0 for each additional practice block",s1_r1_e1,integer,"[0,3]",NA,NA,1,NA,direct-psychopy
task_condition_loop.thisTrialN,social or nonsocial condition,binary number denoting what condition (social or nonsocial),s1_r1_e1,logical,"1,0","1, social | 0, nonsocial",NA,1,NA,direct-psychopy
task_block_loop.thisRepN,block number for this condition,"block number, starting at 0 for first block of current condition (social or nonsocial)",s1_r1_e1,integer,"[0,9]",NA,NA,1,NA,direct-psychopy
task_trial_loop.thisN,trial number of current condition block,"trial number of current condition block, starting at 0 for first trial of current condition block. Restarts at 0 for each additional block in this condition",s1_r1_e1,integer,"[0,39]",NA,NA,1,NA,direct-psychopy
ISI,inter stimulus interval,inter stimulus interval (ISI) in seconds. Denotes time between offset of stimulus from prior trial and onset of next trial stimulus,s1_r1_e1,real,"[0,inf]",seconds,NA,1,NA,direct-psychopy
prac_stim_keyResp.keys,vector of response values for current trial of practice,vector of response values corresponding to all responses made during the response window on the current trial of practice,s1_r1_e1,vector of char,"""1"", ""8""",corresponds to buttonbox button or keyboard key,NA,1,NA,direct-psychopy
accuracy,accuracy of first response provided on trial,accuracy of first response provided on a trial. Same variable used for practice and main task,s1_r1_e1,logical,"1,0","1, correct response | 0, incorrect response",NA,1,NA,direct-psychopy
prac_stim_keyResp.rt,vector of rt values for current trial of practice,vector of rts corresponding to all responses made during the response window on the current trial of practice,s1_r1_e1,vector of real,"[0,inf]",seconds,NA,1,NA,direct-psychopy
task_stim_keyResp.keys,vector of response values for current trial of main task,vector of response values corresponding to all responses made during the response window on the current trial of main task,s1_r1_e1,vector of char,"""1"", ""8""",corresponds to buttonbox button or keyboard key,NA,1,NA,direct-psychopy
task_stim_keyResp.rt,vector of rt values for current trial of main task,vector of rts corresponding to all responses made during the response window on the current trial of main task,s1_r1_e1,vector of real,"[0,inf]",seconds,NA,1,NA,direct-psychopy
blockFeedCat,feedback code for last block,"code denoting which type of feedback was presented. The feeback is provided at the end of a block, about the block just completed, prior to starting the next block. If accuracy is greater than or equal to 75% but less than 90%, feedback will be ""Good Job"". If accuracy is greater than or equal to 90%, feedback will be ""Respond faster"". If accuracy is less than 75%, feedback will be ""Respond more accurately"".",s1_r1_e1,integer,"1,2,3","1, ""Good job"" | 2, ""Respond faster"" | 3, ""Respond more accurately""",NA,1,NA,direct-psychopy
id,participant id,participant id that is manually entered at start of task,s1_r1_e1,integer,"[0,inf]",NA,NA,1,NA,direct-psychopy
counterbalance,counterbalance code,participant counterbalance that is manually entered at start of task,s1_r1_e1,char,"""A"",""B""","""A"", nonsocial first | ""B"", social first",NA,1,NA,direct-psychopy
session,session code,participant session that is manually entered at start of task,s1_r1_e1,integer,"[0,inf]",NA,NA,1,NA,direct-psychopy
run,run code,participant run that is manually entered at start of task,s1_r1_e1,integer,"[0,inf]",NA,NA,1,NA,direct-psychopy
date,date of data collection,date when task was run. auto-populated when task run,s1_r1_e1,date,NA,NA,NA,1,NA,direct-psychopy
psychopyVersion,psychopy version for data collection,psychopy version used to run experiment. auto-populated when task run,s1_r1_e1,char,version number,NA,NA,1,NA,direct-psychopy
frameRate,frame rate for data collection,framerate used to run experiment. auto-populated when task run,s1_r1_e1,real,"[0,inf]",frames per second,NA,1,NA,direct-psychopy
