variable,description,detail,allowedSuffix,measureUnit,allowedValues,valueInfo,provenance
id,Participant ID,"The participant ID is specific to this study, and is auto-assigned by REDCap during completion of the eligibility questionnaire.",NA,Integer,,One ID per participant (eligible and ineligible),automatic
consent_s1_r1_e1,consent: Participant consent status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""consent_yn""==""y"" (indicating participant consented), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
{one row for each psychopy task},psychopy: {task name} task status,"When data is transferred from raw to checked, value of 1 is assigned if ""{task name}"" file exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
{if audio data collected:} audioData_s1_r1_e1,audio: Status of audio data,"When hallMonitor is run, value of 1 is assigned if data already exists in checked, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
{if video data collected:} videoData_s1_r1_e1,video: Status of video data,"When hallMonitor is run, value of 1 is assigned if data already exists in checked, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
{if Brain Vision EEG data collected:} bvData_s1_r1_e1,eeg: Status of Brain Vision EEG data,"When data is transferred from raw to checked, value of 1 is assigned if data exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
{if EGI EEG data collected:} egiData_s1_r1_e1,eeg: Status of EGI EEG data,"When data is transferred from raw to checked, value of 1 is assigned if data exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
{if EEG digi data collected:} digiData_s1_r1_e1,digi: Status of digi data,"When hallMonitor is run, value of 1 is assigned if data already exists in checked, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
{one row for each REDCap questionnaire task},redcap_data: {questionnaire name} status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
{one row for each score output for each REDCap questionnaire task},redcap_scrd: {questionnaire name} {score name} status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments
{one row for each custom variable from preprocessing scripts},custom: {description of variable},"When data is preprocessed, {description of how values are assigned in the script}",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-{script name}
